Channel Name,Product Name,Channel Product Id,Seller Sku Code,Uniware Sku Code,Blocked Inventory,Disabled,Selling Price,Max Retail Price,Currency Code,Status Code,Next Inventory Update,Last Inventory Update
AMAZON_IN_techleads,Techleads Mq2 Mq2 Gas Sensor Module Smoke Methane Butane Detection,B07N512RMH,TL-26037,RB-1214,0,FALSE,,,,LINKED,419,515
AMAZON_IN_techleads,Techleads Ultra Low Power 2.4Ghz Rf Wireless Transceiver In Antistatic Foam Arduino Compatible (2 Pieces),B07N4MXWKQ,TL-26039,RB-1340,0,FALSE,,,,LINKED,105,127
AMAZON_IN_techleads,Techleads Xl4015 5A Cc Cv Lithium Charger Dcdc Step Down Adjustable Buck Power Module,B07N4M6GKL,TL-26040,RB-1265,0,FALSE,,,,LINKED,100,0
FLIPKART_techleads,Robotbanao 1045/1045R Oem Propeller Multi Rotor Helicopter (Black),LSTETYFEFG5SYHZAETDCNLB7A,TL-26041,RB-1233,0,FALSE,,,,LINKED,1619,663
FLIPKART_JAIN,Robotbanao 1045/1045R Oem Propeller Multi Rotor Helicopter Na Black,LSTETYFEFG5SYHZAETDCNLB7A,TL-26041,RB-1233,0,FALSE,,,,LINKED,1619,
AMAZON_IN_techleads,"Techleads 1045/1045r Multi Rotor Helicopter Oem Propeller, Black, Set of 2",B07N4MRMZX,TL-26041,RB-1316,0,FALSE,,,,LINKED,809,399
AMAZON_IN_techleads,Techleads Rc Combo Kit 30A Esc And 1045 Propeller Set And Brushless Motor (1000Kv),B07N4TFS1P,TL-26042,RB-1291,0,FALSE,,,,LINKED,1619,158
FLIPKART_techleads,Robotbanao Combo Kit 30A Esc + 1045 Propeller Set + Brushless Motor(BlDC) (1000KV) Motor Control Electronic Hobby Kit (),LSTEHKFEGBBER7HCJDULCIDTF,TL-26042,RB-1291,0,FALSE,,,,LINKED,1619,
FLIPKART_techleads,Robotbanao TTP223B Digital Touch Sensor Capacitive Touch Switch Module Micro Controller Board Electronic Hobby Kit (),LSTEHKFEGBHFB5VZXTFC93SL9,TL-26044,RB-1253,0,FALSE,,,,LINKED,344,337
AMAZON_IN_techleads,TECHLEADS Ttp2B Digital Touch Sensor Capacitive Touch Switch Module,B07N4NQLSS,TL-26044,RB-1253,0,FALSE,,,,LINKED,344,338
FLIPKART_techleads,Robotbanao 150W Adjustable 12 32V to 12 35V DC DC Laptop Pieces Car Power Boost Converter Power Supply Electronic Hobby Kit (),LSTEHKFEGBQCN8ZAUVCH72BJN,TL-26045,RB-1118,0,FALSE,,,,LINKED,16,42
FLIPKART_JAIN,Robotbanao 150W Adjustable 12 32V to 12 35V DC DC Laptop Pieces Car Power Boost Converter Power Supply Electronic Hobby Kit,LSTEHKFEGBQCN8ZAUVCH72BJN,TL-26045,RB-1118,0,FALSE,,,,LINKED,16,
AMAZON_IN_techleads,Techleads 150W Adjustable 12 32V to 12 35V DC DC Laptop Pieces Car Power Boost Converter,B07N4M6GKM,TL-26045,RB-1118,0,FALSE,,,,LINKED,16,41
FLIPKART_techleads,Robotbanao Digital Voltmeter Ammeter Dc 0-100V 10A Dual Led Red Blue Monitor Panel Ammeter (),LSTAMEFEGJHZDJQSQGQCVOUZ7,TL-26046,RB-1167,0,FALSE,,,,LINKED,5345,1420
FLIPKART_JAIN,Robotbanao Digital Voltmeter Ammeter Dc 0-100V 10A Dual Led Red Blue Monitor Panel Ammeter,LSTAMEFEGJHZDJQSQGQCVOUZ7,TL-26046,RB-1167,0,FALSE,,,,LINKED,5345,
AMAZON_IN_techleads,Techleads Digital Voltmeter Ammeter Dc 0100V 10A Dual Led Red Blue Monitor Panel,B07N4NGY36,TL-26046,RB-1167,0,FALSE,,,,LINKED,5345,3418
FLIPKART_techleads,Robotbanao V3 Engraver 3D Printer CNC Shield Expansion Board A4988 Driver Micro Controller Board Electronic Hobby Kit (),LSTEHKFEGC9F6RVYD6FEVJESD,TL-26047,RB-1155,0,FALSE,,,,LINKED,94,
AMAZON_IN_techleads,Techleads V3 Engraver 3D Printer Cnc Shield Expansion Board A4988 Driver,B07N4M7GQC,TL-26047,RB-1155,0,FALSE,,,,LINKED,94,56
FLIPKART_techleads,Robotbanao 4 Way 4 Channel Infrared Detector Transmission Line Sensor Arduino Electronic Components Electronic Hobby Kit (),LSTEHKFEGCGXYYH5Y4FYWUBP8,TL-26048,RB-1128,0,FALSE,,,,LINKED,9,0
AMAZON_IN_techleads,Techleads 4 Way 4 Channel Infrared Detector Transmission Line Sensor,B07N584FL4,TL-26048,RB-1128,0,FALSE,,,,LINKED,9,0
